date,irl
1996-03-31,
1996-04-30,
1996-05-31,
1996-06-30,11.83
1996-07-31,11.83
1996-08-31,11.83
1996-09-30,11.83
1996-10-31,11.83
1996-11-30,11.83
1996-12-31,11.83
1997-01-31,11.83
1997-02-28,11.83
1997-03-31,11.83
1997-04-30,11.83
1997-05-31,11.83
1997-06-30,11.83
1997-07-31,11.83
1997-08-31,11.83
1997-09-30,9.78
1997-10-31,9.78
1997-11-30,9.78
1997-12-31,9.78
1998-01-31,9.78
1998-02-28,9.78
1998-03-31,9.78
1998-04-30,9.78
1998-05-31,9.78
1998-06-30,9.78
1998-07-31,9.78
1998-08-31,9.78
1998-09-30,5.5
1998-10-31,5.5
1998-11-30,5.5
1998-12-31,5.2
1999-01-31,5.2
1999-02-28,5.2
1999-03-31,5.2
1999-04-30,4.72
1999-05-31,4.72
1999-06-30,4.72
1999-07-31,4.72
1999-08-31,4.72
1999-09-30,3.3
1999-10-31,3.3
1999-11-30,3.3
1999-12-31,3.3
2000-01-31,3.3
2000-02-29,3.3
2000-03-31,3.3
2000-04-30,3.3
2000-05-31,3.3
2000-06-30,3.3
2000-07-31,3.3
2000-08-31,3.3
2000-09-30,3.3
2000-10-31,3.3
2000-11-30,3.3
2000-12-31,3.3
2001-01-31,3.3
2001-02-28,3.3
2001-03-31,3.3
2001-04-30,3.3
2001-05-31,3.3
2001-06-30,3.3
2001-07-31,3.3
2001-08-31,3.3
2001-09-30,2.95
2001-10-31,3.05
2001-11-30,3.05
2001-12-31,3.05
2002-01-31,3.05
2002-02-28,3.05
2002-03-31,2.7
2002-04-30,2.54
2002-05-31,2.54
2002-06-30,2.54
2002-07-31,2.7
2002-08-31,2.7
2002-09-30,2.7
2002-10-31,2.7
2002-11-30,2.7
2002-12-31,2.7
2003-01-31,2.7
2003-02-28,2.7
2003-03-31,2.7
2003-04-30,2.8
2003-05-31,2.8
2003-06-30,2.8
2003-07-31,2.8
2003-08-31,2.8
2003-09-30,3.02
2003-10-31,3.02
2003-11-30,3.02
2003-12-31,3.02
2004-01-31,3.02
2004-02-29,3.02
2004-03-31,3.02
2004-04-30,3.02
2004-05-31,3.02
2004-06-30,3.02
2004-07-31,3.02
2004-08-31,4.86
2004-09-30,4.86
2004-10-31,4.86
2004-11-30,4.86
2004-12-31,4.86
2005-01-31,4.86
2005-02-28,4.44
2005-03-31,4.44
2005-04-30,4.44
2005-05-31,4.44
2005-06-30,4.44
2005-07-31,4.44
2005-08-31,4.44
2005-09-30,4.44
2005-10-31,4.44
2005-11-30,4.44
2005-12-31,4.44
2006-01-31,4.44
2006-02-28,4.44
2006-03-31,2.8
2006-04-30,2.8
2006-05-31,2.8
2006-06-30,2.8
2006-07-31,2.8
2006-08-31,2.8
2006-09-30,2.92
2006-10-31,2.92
2006-11-30,2.92
2006-12-31,2.92
2007-01-31,2.92
2007-02-28,2.92
2007-03-31,3.4
2007-04-30,3.4
2007-05-31,3.4
2007-06-30,4.4
2007-07-31,4.4
2007-08-31,4.3
2007-09-30,4.46
2007-10-31,4.46
2007-11-30,4.49
2007-12-31,4.41
2008-01-31,4.41
2008-02-29,4.41
2008-03-31,4.07
2008-04-30,4.07
2008-05-31,4.07
2008-06-30,4.41
2008-07-31,4.41
2008-08-31,4.41
2008-09-30,3.68
2008-10-31,3.68
2008-11-30,3.68
2008-12-31,2.9
2009-01-31,2.9
2009-02-28,2.9
2009-03-31,3.05
2009-04-30,3.05
2009-05-31,3.02
2009-06-30,3.09
2009-07-31,3.48
2009-08-31,3.48
2009-09-30,3.44
2009-10-31,3.44
2009-11-30,3.68
2009-12-31,3.68
2010-01-31,3.68
2010-02-28,3.43
2010-03-31,3.36
2010-04-30,3.36
2010-05-31,3.25
2010-06-30,3.41
2010-07-31,3.41
2010-08-31,3.28
2010-09-30,3.29
2010-10-31,3.67
2010-11-30,3.67
2010-12-31,3.77
2011-01-31,3.94
2011-02-28,3.94
2011-03-31,3.83
2011-04-30,3.83
2011-05-31,3.83
2011-06-30,3.99
2011-07-31,3.99
2011-08-31,3.93
2011-09-30,3.93
2011-10-31,3.93
2011-11-30,3.57
2011-12-31,3.57
2012-01-31,3.57
2012-02-29,3.51
2012-03-31,3.51
2012-04-30,3.51
2012-05-31,3.36
2012-06-30,3.36
2012-07-31,3.36
2012-08-31,3.39
2012-09-30,3.39
2012-10-31,3.39
2012-11-30,3.39
2012-12-31,3.55
2013-01-31,3.55
2013-02-28,3.52
2013-03-31,3.52
2013-04-30,3.52
2013-05-31,3.38
2013-06-30,3.38
2013-07-31,3.38
2013-08-31,4.08
2013-09-30,4.08
2013-10-31,4.08
2013-11-30,4.08
2013-12-31,4.08
2014-01-31,4.08
2014-02-28,4.08
2014-03-31,4.42
2014-04-30,4.3184
2014-05-31,4.1348
2014-06-30,4.0
2014-07-31,4.1832
2014-08-31,4.2293
2014-09-30,4.13
2014-10-31,3.7773
2014-11-30,3.578
2014-12-31,3.77
2015-01-31,3.4205
2015-02-28,3.4205
2015-03-31,3.3897
2015-04-30,3.64
2015-05-31,3.64
2015-06-30,3.64
2015-07-31,3.51
2015-08-31,3.45
2015-09-30,3.32
2015-10-31,2.99
2015-11-30,3.092
2015-12-31,2.9764
2016-01-31,2.85
2016-02-29,2.85
2016-03-31,2.8196
2016-04-30,2.8632
2016-05-31,2.9
2016-06-30,2.9951
2016-07-31,2.8114
2016-08-31,2.74
2016-09-30,2.7523
2016-10-31,2.6768
2016-11-30,2.7
2016-12-31,3.0643
2017-01-31,3.0956
2017-02-28,3.4
2017-03-31,3.2574
2017-04-30,3.2733
2017-05-31,3.52
2017-06-30,3.6985
2017-07-31,3.5661
2017-08-31,3.62
2017-09-30,3.6341
2017-10-31,3.6267
