date,m1
1986/12/31,26.70
1987/12/31,16.90
1988/12/31,21.00
1989/12/31,6.60
1990/12/31,19.20
1991/12/31,24.20
1992/12/31,35.90
1993/12/31,38.80
1994/12/31,26.20
1995/12/31,16.80
1996/1/31,11.40
1996/2/29,16.60
1996/3/31,13.80
1996/4/30,13.70
1996/5/31,14.50
1996/6/30,15.00
1996/7/31,15.20
1996/8/31,15.10
1996/9/30,17.30
1996/10/31,17.10
1996/11/30,17.10
1996/12/31,18.90
1997/1/31,22.20
1997/2/28,16.00
1997/3/31,18.90
1997/4/30,18.70
1997/5/31,18.30
1997/6/30,20.60
1997/7/31,18.40
1997/8/31,17.20
1997/9/30,17.30
1997/10/31,15.80
1997/11/30,14.90
1997/12/31,16.50
1998/1/31,14.60
1998/2/28,12.40
1998/3/31,11.80
1998/4/30,11.20
1998/5/31,10.80
1998/6/30,8.70
1998/7/31,10.50
1998/8/31,10.90
1998/9/30,13.20
1998/10/31,13.50
1998/11/30,13.70
1998/12/31,11.90
1999/1/31,9.60
1999/2/28,16.00
1999/3/31,14.90
1999/4/30,14.10
1999/5/31,13.30
1999/6/30,14.90
1999/7/31,13.50
1999/8/31,14.40
1999/9/30,14.80
1999/10/31,15.10
1999/11/30,15.90
1999/12/31,17.70
2000/1/31,19.40
2000/2/29,15.30
2000/3/31,18.70
2000/4/30,21.70
2000/5/31,22.30
2000/6/30,23.70
2000/7/31,22.60
2000/8/31,21.90
2000/9/30,20.80
2000/10/31,18.20
2000/11/30,17.10
2000/12/31,16.00
2001/1/31,16.80
2001/2/28,16.40
2001/3/31,17.40
2001/4/30,15.00
2001/5/31,14.90
2001/6/30,14.90
2001/7/31,11.90
2001/8/31,14.20
2001/9/30,12.30
2001/10/31,12.30
2001/11/30,11.40
2001/12/31,12.70
2002/1/31,9.50
2002/2/28,10.90
2002/3/31,10.10
2002/4/30,11.50
2002/5/31,14.60
2002/6/30,12.80
2002/7/31,17.00
2002/8/31,14.60
2002/9/30,15.90
2002/10/31,17.90
2002/11/30,18.50
2002/12/31,16.82
2003/1/31,19.50
2003/2/28,18.80
2003/3/31,20.12
2003/4/30,18.00
2003/5/31,18.80
2003/6/30,20.24
2003/7/31,20.00
2003/8/31,18.75
2003/9/30,18.51
2003/10/31,19.62
2003/11/30,18.86
2003/12/31,18.70
2004/1/31,15.70
2004/2/29,19.80
2004/3/31,20.10
2004/4/30,20.00
2004/5/31,18.60
2004/6/30,16.20
2004/7/31,15.00
2004/8/31,15.14
2004/9/30,13.70
2004/10/31,12.57
2004/11/30,13.80
2004/12/31,13.60
2005/1/31,15.32
2005/2/28,10.60
2005/3/31,9.90
2005/4/30,10.00
2005/5/31,10.40
2005/6/30,11.25
2005/7/31,11.00
2005/8/31,11.50
2005/9/30,11.64
2005/10/31,12.08
2005/11/30,12.70
2005/12/31,11.78
2006/1/31,10.63
2006/2/28,12.40
2006/3/31,12.70
2006/4/30,12.50
2006/5/31,14.01
2006/6/30,13.90
2006/7/31,15.30
2006/8/31,15.60
2006/9/30,15.70
2006/10/31,16.30
2006/11/30,16.80
2006/12/31,17.48
2007/1/31,20.21
2007/2/28,21.00
2007/3/31,19.80
2007/4/30,20.00
2007/5/31,19.28
2007/6/30,20.92
2007/7/31,20.90
2007/8/31,22.80
2007/9/30,22.07
2007/10/31,22.21
2007/11/30,21.67
2007/12/31,21.01
2008/1/31,20.72
2008/2/29,19.20
2008/3/31,18.25
2008/4/30,19.05
2008/5/31,17.93
2008/6/30,14.19
2008/7/31,13.96
2008/8/31,11.48
2008/9/30,9.43
2008/10/31,8.85
2008/11/30,6.80
2008/12/31,9.06
2009/1/31,6.68
2009/2/28,10.87
2009/3/31,17.04
2009/4/30,17.48
2009/5/31,18.69
2009/6/30,24.79
2009/7/31,26.37
2009/8/31,27.72
2009/9/30,29.51
2009/10/31,32.03
2009/11/30,34.63
2009/12/31,32.35
2010/1/31,38.96
2010/2/28,34.99
2010/3/31,29.94
2010/4/30,31.25
2010/5/31,29.90
2010/6/30,24.56
2010/7/31,22.90
2010/8/31,21.90
