date,m1_gdp
1995/12/31,1.300029266
1996/3/31,1.634468143
1996/6/30,1.434611459
1996/9/30,1.409775446
1996/12/31,1.39475747
1997/3/31,1.74113643
1997/6/30,1.621549709
1997/9/30,1.572857777
1997/12/31,1.490743317
1998/3/31,1.834440498
1998/6/30,1.664121084
1998/9/30,1.67623395
1998/12/31,1.553537102
1999/3/31,1.965406288
1999/6/30,1.800006491
1999/9/30,1.818331685
1999/12/31,1.724239107
2000/3/31,2.117121974
2000/6/30,1.997388057
2000/9/30,1.968575596
2000/12/31,1.820463241
2001/3/31,2.201781918
2001/6/30,2.064871701
2001/9/30,2.005520006
2001/12/31,1.887693273
2002/3/31,2.261830386
2002/6/30,2.162850919
2002/9/30,2.137093095
2002/12/31,2.026913981
2003/3/31,2.395226233
2003/6/30,2.333421335
2003/9/30,2.243117543
2003/12/31,2.115264513
2004/3/31,2.484196372
2004/6/30,2.290059637
2004/9/30,2.160770517
2004/12/31,2.053299757
2005/3/31,2.342038598
2005/6/30,2.201259792
2005/9/30,2.101324098
2005/12/31,1.985731738
2006/3/31,2.267195708
2006/6/30,2.132814158
2006/9/30,2.083558817
2006/12/31,1.980900355
2007/3/31,2.236586565
2007/6/30,2.09609996
2007/9/30,2.050960168
2007/12/31,1.937455
2008/3/31,2.173557133
2008/6/30,1.965495944
2008/9/30,1.886907982
2008/12/31,1.871934685
2009/3/31,2.383980279
2009/6/30,2.299775664
2009/9/30,2.240850489
2009/12/31,2.191820973
2010/3/31,2.6181987
2010/6/30,2.417102371
2010/9/30,2.295038437
2010/12/31,2.228485195
2011/3/31,2.544458832
2011/6/30,2.304713097
2011/9/30,2.104188008
2011/12/31,2.092713314
2012/3/31,2.364052132
2012/6/30,2.183480493
2012/9/30,2.06884763
2012/12/31,2.024440591
2013/3/31,2.396188659
2013/6/30,2.177581112
2013/9/30,2.042639071
2013/12/31,2.000242253
2014/3/31,2.330306511
2014/6/30,2.182568149
2014/9/30,1.974633143
2014/12/31,1.921026644
2015/3/31,2.233378966
2015/6/30,2.113213771
2015/9/30,2.062226671
2015/12/31,2.079074357
2016/3/31,2.547344384
2016/6/30,2.454545857
2016/9/30,2.384618917
2016/12/31,2.302888329
2017/3/31,2.705129434
2017/6/30,2.540885835
2017/9/30,2.445079935
