date,sratio
1999-12-31,36.46
2000-01-31,35.63
2000-02-29,35.63
2000-03-31,35.63
2000-04-30,35.63
2000-05-31,35.63
2000-06-30,35.63
2000-07-31,35.63
2000-08-31,35.63
2000-09-30,35.63
2000-10-31,35.63
2000-11-30,35.63
2000-12-31,35.63
2001-01-31,37.19
2001-02-28,37.19
2001-03-31,37.19
2001-04-30,37.19
2001-05-31,37.19
2001-06-30,37.19
2001-07-31,37.19
2001-08-31,37.19
2001-09-30,37.19
2001-10-31,37.19
2001-11-30,37.19
2001-12-31,37.19
2002-01-31,38.86
2002-02-28,38.86
2002-03-31,38.86
2002-04-30,38.86
2002-05-31,38.86
2002-06-30,38.86
2002-07-31,38.86
2002-08-31,38.86
2002-09-30,38.86
2002-10-31,38.86
2002-11-30,38.86
2002-12-31,38.86
2003-01-31,42.5
2003-02-28,42.5
2003-03-31,42.5
2003-04-30,42.5
2003-05-31,42.5
2003-06-30,42.5
2003-07-31,42.5
2003-08-31,42.5
2003-09-30,42.5
2003-10-31,42.5
2003-11-30,42.5
2003-12-31,42.5
2004-01-31,45.7
2004-02-29,45.7
2004-03-31,45.7
2004-04-30,45.7
2004-05-31,45.7
2004-06-30,45.7
2004-07-31,45.7
2004-08-31,45.7
2004-09-30,45.7
2004-10-31,45.7
2004-11-30,45.7
2004-12-31,45.7
2005-01-31,46.23
2005-02-28,46.23
2005-03-31,46.23
2005-04-30,46.23
2005-05-31,46.23
2005-06-30,46.23
2005-07-31,46.23
2005-08-31,46.23
2005-09-30,46.23
2005-10-31,46.23
2005-11-30,46.23
2005-12-31,46.23
2006-01-31,48.47
2006-02-28,48.47
2006-03-31,48.47
2006-04-30,48.47
2006-05-31,48.47
2006-06-30,48.47
2006-07-31,48.47
2006-08-31,48.47
2006-09-30,48.47
2006-10-31,48.47
2006-11-30,48.47
2006-12-31,48.47
2007-01-31,50.64
2007-02-28,50.64
2007-03-31,50.64
2007-04-30,50.64
2007-05-31,50.64
2007-06-30,50.64
2007-07-31,50.64
2007-08-31,50.64
2007-09-30,50.64
2007-10-31,50.64
2007-11-30,50.64
2007-12-31,50.64
2008-01-31,51.84
2008-02-29,51.84
2008-03-31,51.84
2008-04-30,51.84
2008-05-31,51.84
2008-06-30,51.84
2008-07-31,51.84
2008-08-31,51.84
2008-09-30,51.84
2008-10-31,51.84
2008-11-30,51.84
2008-12-31,51.84
2009-01-31,50.49
2009-02-28,50.49
2009-03-31,50.49
2009-04-30,50.49
2009-05-31,50.49
2009-06-30,50.49
2009-07-31,50.49
2009-08-31,50.49
2009-09-30,50.49
2009-10-31,50.49
2009-11-30,50.49
2009-12-31,50.49
2010-01-31,51.17
2010-02-28,51.17
2010-03-31,51.17
2010-04-30,51.17
2010-05-31,51.17
2010-06-30,51.17
2010-07-31,51.17
2010-08-31,51.17
2010-09-30,51.17
2010-10-31,51.17
2010-11-30,51.17
2010-12-31,51.17
2011-01-31,49.14
2011-02-28,49.14
2011-03-31,49.14
2011-04-30,49.14
2011-05-31,49.14
2011-06-30,49.14
2011-07-31,49.14
2011-08-31,49.14
2011-09-30,49.14
2011-10-31,49.14
2011-11-30,49.14
2011-12-31,49.14
2012-01-31,48.99
2012-02-29,48.99
2012-03-31,48.99
2012-04-30,48.99
2012-05-31,48.99
2012-06-30,48.99
2012-07-31,48.99
2012-08-31,48.99
2012-09-30,48.99
2012-10-31,48.99
2012-11-30,48.99
2012-12-31,48.99
2013-01-31,48.05
2013-02-28,48.05
2013-03-31,48.05
2013-04-30,48.05
2013-05-31,48.05
2013-06-30,48.05
2013-07-31,48.05
2013-08-31,48.05
2013-09-30,48.05
2013-10-31,48.05
2013-11-30,48.05
2013-12-31,48.05
2014-01-31,47.96
2014-02-28,47.96
2014-03-31,47.96
2014-04-30,47.96
2014-05-31,47.96
2014-06-30,47.96
2014-07-31,47.96
2014-08-31,47.96
2014-09-30,47.96
2014-10-31,47.96
2014-11-30,47.96
2014-12-31,47.96
2015-01-31,47.9
2015-02-28,47.9
2015-03-31,47.9
2015-04-30,47.9
2015-05-31,47.9
2015-06-30,47.9
2015-07-31,47.9
2015-08-31,47.9
2015-09-30,47.9
2015-10-31,47.9
2015-11-30,47.9
2015-12-31,47.9
2016-01-31,47.9
2016-02-29,47.9
2016-03-31,47.9
2016-04-30,47.9
2016-05-31,47.9
2016-06-30,47.9
2016-07-31,47.9
2016-08-31,47.9
2016-09-30,47.9
2016-10-31,47.9
2016-11-30,47.9
2016-12-31,47.9
2017-01-31,47.9
2017-02-28,47.9
2017-03-31,47.9
2017-04-30,47.9
2017-05-31,47.9
2017-06-30,47.9
2017-07-31,47.9
2017-08-31,47.9
2017-09-30,47.9
2017-10-31,47.9
